exercise_id,exercise_name,category,goal,level,equipment,duration_minutes,calories_burned
402,Mountain Climbers,Core,Weight Loss,Beginner,Dumbbell,30,240
403,Burpees,Cardio,Muscle Gain,Intermediate,Dumbbell,60,540
404,Bicep Curls,Arms,Maintenance,Beginner,Dumbbell,30,150
405,Cycling,Cardio,Maintenance,Intermediate,Machine,20,200
406,Squats,Legs,Weight Loss,Intermediate,Barbell,40,400
407,Lunges,Legs,Weight Loss,Advanced,Dumbbell,40,440
408,Mountain Climbers,Core,Muscle Gain,Advanced,Dumbbell,20,180
409,Incline Press,Chest,Maintenance,Advanced,Dumbbell,30,150
410,Bench Press,Chest,Weight Loss,Advanced,Barbell,30,180
411,Cycling,Cardio,Weight Loss,Beginner,Machine,20,100
412,Deadlift,Back,Muscle Gain,Beginner,Barbell,40,320
413,Bench Press,Chest,Muscle Gain,Intermediate,Barbell,30,330
414,Mountain Climbers,Core,Maintenance,Advanced,Dumbbell,60,420
415,Pull-ups,Back,Maintenance,Beginner,Dumbbell,30,180
416,Leg Press,Legs,Weight Loss,Intermediate,Machine,30,150
417,Plank,Core,Weight Loss,Beginner,Bodyweight,40,200
418,Bicep Curls,Arms,Maintenance,Beginner,Dumbbell,60,540
419,Squats,Legs,Weight Loss,Beginner,Barbell,20,180
420,Shoulder Press,Shoulders,Maintenance,Advanced,Dumbbell,40,360
421,Squats,Legs,Muscle Gain,Intermediate,Barbell,40,320
422,Incline Press,Chest,Muscle Gain,Beginner,Dumbbell,30,360
423,Leg Curl,Legs,Muscle Gain,Intermediate,Dumbbell,60,600
424,Pull-ups,Back,Maintenance,Advanced,Dumbbell,20,140
425,Tricep Dips,Arms,Weight Loss,Beginner,Bodyweight,40,480
426,Deadlift,Back,Muscle Gain,Beginner,Barbell,60,720
427,Chest Fly,Chest,Muscle Gain,Beginner,Dumbbell,30,360
428,Tricep Dips,Arms,Weight Loss,Beginner,Bodyweight,30,180
429,Lat Pulldown,Back,Maintenance,Intermediate,Machine,30,240
430,Squats,Legs,Muscle Gain,Beginner,Barbell,20,180
431,Lat Pulldown,Back,Weight Loss,Beginner,Machine,60,540
432,Shoulder Press,Shoulders,Weight Loss,Beginner,Dumbbell,30,360
433,Bicep Curls,Arms,Maintenance,Advanced,Dumbbell,40,320
434,Deadlift,Back,Maintenance,Intermediate,Barbell,30,150
435,Burpees,Cardio,Weight Loss,Advanced,Dumbbell,20,220
436,Bicep Curls,Arms,Weight Loss,Advanced,Dumbbell,20,160
437,Incline Press,Chest,Weight Loss,Beginner,Dumbbell,40,400
438,Pull-ups,Back,Muscle Gain,Beginner,Dumbbell,20,100
439,Squats,Legs,Muscle Gain,Advanced,Barbell,20,100
440,Jump Rope,Cardio,Weight Loss,Beginner,Bodyweight,40,240
441,Deadlift,Back,Weight Loss,Beginner,Barbell,40,360
442,Chest Fly,Chest,Weight Loss,Beginner,Dumbbell,40,240
443,Tricep Dips,Arms,Weight Loss,Advanced,Bodyweight,30,330
444,Shoulder Press,Shoulders,Muscle Gain,Intermediate,Dumbbell,30,330
445,Chest Fly,Chest,Maintenance,Advanced,Dumbbell,40,320
446,Tricep Dips,Arms,Weight Loss,Intermediate,Bodyweight,60,360
447,Incline Press,Chest,Maintenance,Intermediate,Dumbbell,20,100
448,Squats,Legs,Maintenance,Advanced,Barbell,40,200
449,Jump Rope,Cardio,Maintenance,Intermediate,Bodyweight,40,440
450,Squats,Legs,Weight Loss,Advanced,Barbell,60,600
451,Leg Curl,Legs,Maintenance,Beginner,Dumbbell,60,360
452,Cycling,Cardio,Muscle Gain,Intermediate,Machine,30,330
453,Incline Press,Chest,Maintenance,Advanced,Dumbbell,30,150
454,Burpees,Cardio,Muscle Gain,Intermediate,Dumbbell,40,400
455,Chest Fly,Chest,Weight Loss,Beginner,Dumbbell,40,360
456,Incline Press,Chest,Maintenance,Advanced,Dumbbell,40,280
457,Burpees,Cardio,Muscle Gain,Advanced,Dumbbell,60,720
458,Leg Curl,Legs,Muscle Gain,Beginner,Dumbbell,30,240
459,Bicep Curls,Arms,Maintenance,Beginner,Dumbbell,30,330
460,Shoulder Press,Shoulders,Weight Loss,Beginner,Dumbbell,20,120
461,Bicep Curls,Arms,Muscle Gain,Advanced,Dumbbell,20,200
462,Plank,Core,Weight Loss,Intermediate,Bodyweight,20,100
463,Tricep Dips,Arms,Weight Loss,Beginner,Bodyweight,20,120
464,Tricep Dips,Arms,Muscle Gain,Advanced,Bodyweight,60,360
465,Leg Curl,Legs,Weight Loss,Beginner,Dumbbell,60,660
466,Tricep Dips,Arms,Muscle Gain,Beginner,Bodyweight,20,100
467,Deadlift,Back,Muscle Gain,Advanced,Barbell,30,240
468,Incline Press,Chest,Weight Loss,Advanced,Dumbbell,30,300
469,Lunges,Legs,Muscle Gain,Advanced,Dumbbell,40,320
470,Burpees,Cardio,Muscle Gain,Advanced,Dumbbell,60,660
471,Lat Pulldown,Back,Weight Loss,Advanced,Machine,60,660
472,Jump Rope,Cardio,Muscle Gain,Advanced,Bodyweight,30,300
473,Pull-ups,Back,Muscle Gain,Beginner,Dumbbell,40,400
474,Squats,Legs,Maintenance,Advanced,Barbell,40,240
475,Plank,Core,Weight Loss,Intermediate,Bodyweight,20,200
476,Deadlift,Back,Maintenance,Intermediate,Barbell,40,400
477,Running,Cardio,Muscle Gain,Intermediate,Bodyweight,20,160
478,Lunges,Legs,Weight Loss,Advanced,Dumbbell,60,360
479,Leg Press,Legs,Weight Loss,Advanced,Machine,30,150
480,Chest Fly,Chest,Maintenance,Beginner,Dumbbell,60,300
481,Lat Pulldown,Back,Maintenance,Intermediate,Machine,20,160
482,Squats,Legs,Weight Loss,Intermediate,Barbell,40,280
483,Mountain Climbers,Core,Muscle Gain,Beginner,Dumbbell,60,720
484,Bench Press,Chest,Maintenance,Beginner,Barbell,30,360
485,Shoulder Press,Shoulders,Maintenance,Advanced,Dumbbell,20,220
486,Bench Press,Chest,Maintenance,Beginner,Barbell,20,180
487,Lat Pulldown,Back,Weight Loss,Beginner,Machine,20,100
488,Chest Fly,Chest,Muscle Gain,Advanced,Dumbbell,60,420
489,Leg Press,Legs,Maintenance,Beginner,Machine,60,360
490,Squats,Legs,Weight Loss,Advanced,Barbell,30,270
491,Leg Press,Legs,Weight Loss,Beginner,Machine,60,480
492,Pull-ups,Back,Maintenance,Beginner,Dumbbell,40,360
493,Leg Press,Legs,Maintenance,Intermediate,Machine,40,320
494,Shoulder Press,Shoulders,Weight Loss,Beginner,Dumbbell,20,120
495,Pull-ups,Back,Muscle Gain,Beginner,Dumbbell,60,420
496,Shoulder Press,Shoulders,Maintenance,Advanced,Dumbbell,60,480
497,Cycling,Cardio,Weight Loss,Intermediate,Machine,60,660
498,Plank,Core,Maintenance,Beginner,Bodyweight,20,180
499,Pull-ups,Back,Muscle Gain,Intermediate,Dumbbell,60,420
500,Leg Press,Legs,Weight Loss,Intermediate,Machine,60,720
