food_id,food_name,meal_category,calories,protein_g,carbs_g,fats_g,diet_type,goal
418,Paneer,Breakfast,177,34,61,33,Veg,Muscle Gain
419,Banana,Breakfast,284,44,19,22,Vegan,Maintenance
420,Tofu,Dinner,463,34,85,7,Vegan,Muscle Gain
421,Chapati,Snack,122,30,80,22,Veg,Muscle Gain
422,Sweet Potato,Dinner,583,42,18,33,Veg,Weight Loss
423,Paneer,Snack,354,6,52,19,Vegan,Maintenance
424,Greek Yogurt,Snack,441,7,60,2,Veg,Weight Loss
425,Milk,Breakfast,628,14,75,14,Non-Veg,Maintenance
426,Milk,Breakfast,216,41,74,10,Non-Veg,Muscle Gain
427,White Rice,Breakfast,401,33,49,4,Non-Veg,Weight Loss
428,Salmon,Snack,224,9,66,20,Vegan,Weight Loss
429,Paneer,Lunch,169,23,88,29,Non-Veg,Maintenance
430,Broccoli,Lunch,588,22,57,9,Vegan,Maintenance
431,Tofu,Dinner,338,37,24,10,Vegan,Muscle Gain
432,Broccoli,Breakfast,134,19,77,10,Vegan,Muscle Gain
433,Egg,Lunch,340,39,13,19,Non-Veg,Muscle Gain
434,Broccoli,Snack,470,30,85,14,Non-Veg,Weight Loss
435,Dal,Lunch,598,42,39,3,Veg,Weight Loss
436,Paneer,Snack,245,47,45,29,Vegan,Muscle Gain
437,Banana,Breakfast,301,25,43,12,Vegan,Weight Loss
438,Broccoli,Breakfast,407,19,39,20,Non-Veg,Maintenance
439,Boiled Chickpeas,Snack,185,13,32,5,Vegan,Muscle Gain
440,Almonds,Breakfast,228,45,14,4,Non-Veg,Maintenance
441,Broccoli,Dinner,124,40,31,15,Non-Veg,Muscle Gain
442,Peanut Butter,Snack,517,36,83,26,Non-Veg,Maintenance
443,Brown Rice,Lunch,542,46,61,31,Vegan,Muscle Gain
444,Greek Yogurt,Lunch,529,12,65,19,Veg,Maintenance
445,Egg,Snack,445,5,74,24,Vegan,Muscle Gain
446,Milk,Breakfast,489,12,84,13,Non-Veg,Muscle Gain
447,Salmon,Lunch,634,25,38,15,Non-Veg,Muscle Gain
448,Egg,Lunch,265,30,24,11,Vegan,Maintenance
449,Egg,Lunch,151,38,62,16,Vegan,Muscle Gain
450,Dal,Lunch,396,49,63,34,Non-Veg,Maintenance
451,Salmon,Dinner,107,22,23,29,Veg,Muscle Gain
452,Salmon,Breakfast,208,48,32,13,Vegan,Weight Loss
453,Milk,Breakfast,451,39,65,25,Vegan,Weight Loss
454,Oats,Dinner,443,44,14,32,Vegan,Weight Loss
455,Paneer,Snack,113,32,80,33,Veg,Maintenance
456,Apple,Snack,186,14,82,3,Vegan,Maintenance
457,Broccoli,Dinner,367,16,19,28,Veg,Muscle Gain
458,Broccoli,Lunch,502,50,32,30,Veg,Muscle Gain
459,Chicken Breast,Breakfast,239,35,49,7,Vegan,Muscle Gain
460,Salmon,Breakfast,282,34,36,17,Vegan,Weight Loss
461,Salmon,Breakfast,401,11,67,33,Non-Veg,Muscle Gain
462,Tofu,Snack,360,32,36,14,Non-Veg,Maintenance
463,Chapati,Snack,500,39,14,15,Veg,Muscle Gain
464,Quinoa,Lunch,381,32,82,8,Veg,Weight Loss
465,Milk,Breakfast,427,17,51,16,Non-Veg,Maintenance
466,Apple,Breakfast,415,50,42,19,Veg,Muscle Gain
467,White Rice,Snack,285,24,49,32,Vegan,Weight Loss
468,Tofu,Lunch,566,35,87,13,Non-Veg,Weight Loss
469,Egg,Dinner,305,43,14,15,Non-Veg,Maintenance
470,Quinoa,Lunch,209,15,84,29,Non-Veg,Weight Loss
471,Chapati,Snack,495,17,11,35,Non-Veg,Maintenance
472,Chapati,Lunch,166,34,79,27,Non-Veg,Muscle Gain
473,Banana,Lunch,211,49,56,2,Vegan,Muscle Gain
474,Broccoli,Dinner,132,47,20,4,Non-Veg,Muscle Gain
475,Dal,Snack,459,24,36,26,Vegan,Muscle Gain
476,Chicken Breast,Dinner,84,40,85,3,Non-Veg,Maintenance
477,Brown Rice,Snack,611,38,50,11,Vegan,Muscle Gain
478,Greek Yogurt,Snack,197,33,69,33,Non-Veg,Weight Loss
479,White Rice,Breakfast,80,9,79,8,Non-Veg,Weight Loss
480,Chapati,Breakfast,408,44,19,35,Veg,Maintenance
481,Greek Yogurt,Snack,304,23,42,13,Vegan,Muscle Gain
482,Milk,Dinner,101,10,37,31,Veg,Muscle Gain
483,Greek Yogurt,Breakfast,245,40,30,25,Veg,Weight Loss
484,Oats,Lunch,449,37,90,18,Veg,Muscle Gain
485,Almonds,Breakfast,165,27,29,20,Non-Veg,Maintenance
486,Apple,Lunch,626,47,71,28,Veg,Weight Loss
487,Dal,Snack,524,24,53,19,Vegan,Muscle Gain
488,Apple,Breakfast,453,19,69,27,Non-Veg,Maintenance
489,Egg,Snack,279,19,22,11,Vegan,Muscle Gain
490,Dal,Breakfast,290,39,15,8,Vegan,Maintenance
491,Egg,Dinner,452,50,31,30,Vegan,Weight Loss
492,Dal,Snack,564,49,64,22,Veg,Muscle Gain
493,Quinoa,Dinner,375,35,22,3,Non-Veg,Maintenance
494,Paneer,Lunch,402,27,28,13,Vegan,Maintenance
495,Greek Yogurt,Breakfast,228,6,60,16,Non-Veg,Maintenance
496,Tofu,Breakfast,103,19,86,34,Vegan,Weight Loss
497,Milk,Dinner,97,29,79,5,Non-Veg,Muscle Gain
498,Oats,Lunch,531,23,12,29,Non-Veg,Maintenance
499,White Rice,Dinner,548,37,83,29,Vegan,Muscle Gain
500,Sweet Potato,Lunch,176,47,37,5,Veg,Maintenance
